date,3M,AMAZON,APPLE,ASML,BOEING,COKE,DISNEY,EXXON,FACEBOOK,IBM,INTEL,JOHNSON,MCDONALDS,MERCK,MICROSOFT,NETFLIX,NVIDIA,PFIZER,SALESFORCE,WALMART,
20140530,0.020260001,0.020260001,0.020260001,0.020260001,0.020260001,0.020260001,0.020260001,0.020260001,0.020260001,0.020260001,0.020260001,0.020260001,0.020260001,0.020260001,0.020260001,0.020260001,0.020260001,0.020260001,0.020260001,0.020260001,
20140630,0.027991001,0.027991001,0.027991001,0.027991001,0.027991001,0.027991001,0.027991001,0.027991001,0.027991001,0.027991001,0.027991001,0.027991001,0.027991001,0.027991001,0.027991001,0.027991001,0.027991001,0.027991001,0.027991001,0.027991001,
20140731,-0.020567,-0.020567,-0.020567,-0.020567,-0.020567,-0.020567,-0.020567,-0.020567,-0.020567,-0.020567,-0.020567,-0.020567,-0.020567,-0.020567,-0.020567,-0.020567,-0.020567,-0.020567,-0.020567,-0.020567,
20140829,0.040224999,0.040224999,0.040224999,0.040224999,0.040224999,0.040224999,0.040224999,0.040224999,0.040224999,0.040224999,0.040224999,0.040224999,0.040224999,0.040224999,0.040224999,0.040224999,0.040224999,0.040224999,0.040224999,0.040224999,
20140930,-0.025209,-0.025209,-0.025209,-0.025209,-0.025209,-0.025209,-0.025209,-0.025209,-0.025209,-0.025209,-0.025209,-0.025209,-0.025209,-0.025209,-0.025209,-0.025209,-0.025209,-0.025209,-0.025209,-0.025209,
20141031,0.021174001,0.021174001,0.021174001,0.021174001,0.021174001,0.021174001,0.021174001,0.021174001,0.021174001,0.021174001,0.021174001,0.021174001,0.021174001,0.021174001,0.021174001,0.021174001,0.021174001,0.021174001,0.021174001,0.021174001,
20141128,0.021113999,0.021113999,0.021113999,0.021113999,0.021113999,0.021113999,0.021113999,0.021113999,0.021113999,0.021113999,0.021113999,0.021113999,0.021113999,0.021113999,0.021113999,0.021113999,0.021113999,0.021113999,0.021113999,0.021113999,
20141231,-0.003662,-0.003662,-0.003662,-0.003662,-0.003662,-0.003662,-0.003662,-0.003662,-0.003662,-0.003662,-0.003662,-0.003662,-0.003662,-0.003662,-0.003662,-0.003662,-0.003662,-0.003662,-0.003662,-0.003662,
20150130,-0.027207,-0.027207,-0.027207,-0.027207,-0.027207,-0.027207,-0.027207,-0.027207,-0.027207,-0.027207,-0.027207,-0.027207,-0.027207,-0.027207,-0.027207,-0.027207,-0.027207,-0.027207,-0.027207,-0.027207,
20150227,0.055973999,0.055973999,0.055973999,0.055973999,0.055973999,0.055973999,0.055973999,0.055973999,0.055973999,0.055973999,0.055973999,0.055973999,0.055973999,0.055973999,0.055973999,0.055973999,0.055973999,0.055973999,0.055973999,0.055973999,
20150331,-0.01041,-0.01041,-0.01041,-0.01041,-0.01041,-0.01041,-0.01041,-0.01041,-0.01041,-0.01041,-0.01041,-0.01041,-0.01041,-0.01041,-0.01041,-0.01041,-0.01041,-0.01041,-0.01041,-0.01041,
20150430,0.008776,0.008776,0.008776,0.008776,0.008776,0.008776,0.008776,0.008776,0.008776,0.008776,0.008776,0.008776,0.008776,0.008776,0.008776,0.008776,0.008776,0.008776,0.008776,0.008776,
20150529,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,
20150630,-0.019238001,-0.019238001,-0.019238001,-0.019238001,-0.019238001,-0.019238001,-0.019238001,-0.019238001,-0.019238001,-0.019238001,-0.019238001,-0.019238001,-0.019238001,-0.019238001,-0.019238001,-0.019238001,-0.019238001,-0.019238001,-0.019238001,-0.019238001,
20150731,0.01211,0.01211,0.01211,0.01211,0.01211,0.01211,0.01211,0.01211,0.01211,0.01211,0.01211,0.01211,0.01211,0.01211,0.01211,0.01211,0.01211,0.01211,0.01211,0.01211,
20150831,-0.059982002,-0.059982002,-0.059982002,-0.059982002,-0.059982002,-0.059982002,-0.059982002,-0.059982002,-0.059982002,-0.059982002,-0.059982002,-0.059982002,-0.059982002,-0.059982002,-0.059982002,-0.059982002,-0.059982002,-0.059982002,-0.059982002,-0.059982002,
20150930,-0.033792999,-0.033792999,-0.033792999,-0.033792999,-0.033792999,-0.033792999,-0.033792999,-0.033792999,-0.033792999,-0.033792999,-0.033792999,-0.033792999,-0.033792999,-0.033792999,-0.033792999,-0.033792999,-0.033792999,-0.033792999,-0.033792999,-0.033792999,
20151030,0.074005999,0.074005999,0.074005999,0.074005999,0.074005999,0.074005999,0.074005999,0.074005999,0.074005999,0.074005999,0.074005999,0.074005999,0.074005999,0.074005999,0.074005999,0.074005999,0.074005999,0.074005999,0.074005999,0.074005999,
20151130,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,
20151231,-0.022227,-0.022227,-0.022227,-0.022227,-0.022227,-0.022227,-0.022227,-0.022227,-0.022227,-0.022227,-0.022227,-0.022227,-0.022227,-0.022227,-0.022227,-0.022227,-0.022227,-0.022227,-0.022227,-0.022227,
20160129,-0.057147998,-0.057147998,-0.057147998,-0.057147998,-0.057147998,-0.057147998,-0.057147998,-0.057147998,-0.057147998,-0.057147998,-0.057147998,-0.057147998,-0.057147998,-0.057147998,-0.057147998,-0.057147998,-0.057147998,-0.057147998,-0.057147998,-0.057147998,
20160229,0.000613,0.000613,0.000613,0.000613,0.000613,0.000613,0.000613,0.000613,0.000613,0.000613,0.000613,0.000613,0.000613,0.000613,0.000613,0.000613,0.000613,0.000613,0.000613,0.000613,
20160331,0.070554003,0.070554003,0.070554003,0.070554003,0.070554003,0.070554003,0.070554003,0.070554003,0.070554003,0.070554003,0.070554003,0.070554003,0.070554003,0.070554003,0.070554003,0.070554003,0.070554003,0.070554003,0.070554003,0.070554003,
20160429,0.011725,0.011725,0.011725,0.011725,0.011725,0.011725,0.011725,0.011725,0.011725,0.011725,0.011725,0.011725,0.011725,0.011725,0.011725,0.011725,0.011725,0.011725,0.011725,0.011725,
20160531,0.014354,0.014354,0.014354,0.014354,0.014354,0.014354,0.014354,0.014354,0.014354,0.014354,0.014354,0.014354,0.014354,0.014354,0.014354,0.014354,0.014354,0.014354,0.014354,0.014354,
20160630,0.002929,0.002929,0.002929,0.002929,0.002929,0.002929,0.002929,0.002929,0.002929,0.002929,0.002929,0.002929,0.002929,0.002929,0.002929,0.002929,0.002929,0.002929,0.002929,0.002929,
20160729,0.038849,0.038849,0.038849,0.038849,0.038849,0.038849,0.038849,0.038849,0.038849,0.038849,0.038849,0.038849,0.038849,0.038849,0.038849,0.038849,0.038849,0.038849,0.038849,0.038849,
20160831,0.002806,0.002806,0.002806,0.002806,0.002806,0.002806,0.002806,0.002806,0.002806,0.002806,0.002806,0.002806,0.002806,0.002806,0.002806,0.002806,0.002806,0.002806,0.002806,0.002806,
