date,3M,AMAZON,APPLE,ASML,BOEING,COKE,DISNEY,EXXON,FACEBOOK,IBM,INTEL,JOHNSON,MCDONALDS,MERCK,MICROSOFT,NETFLIX,NVIDIA,PFIZER,SALESFORCE,WALMART
20170731,-0.033719,0.020434,0.032704,0.153634,0.226094,0.022074,0.041976,-0.008547,0.121009,-0.059546,0.051274,0.00325,0.012928,-0.003277,0.054693,0.215849,0.12417,-0.012801,0.048499,0.05695
20170831,0.021499,-0.007269,0.106905,0.039779,-0.005692,-0.006326,-0.079414,-0.036732,0.016071,-0.000968,-0.003595,0.003692,0.037192,-0.000313,0.033838,-0.038258,0.043505,0.032569,0.051652,-0.017627
20170929,0.02731,-0.019631,-0.060244,0.095259,0.060711,-0.003732,-0.025988,0.074021,-0.006396,0.014333,0.085828,-0.017829,-0.020566,0.010022,-0.003745,0.038006,0.055064,0.052476,-0.021678,0.000897
20171031,0.096665,0.149717,0.096808,0.055783,0.01483,0.021551,-0.00771,0.016711,0.053784,0.061897,0.19459,0.072302,0.065292,-0.139622,0.11666,0.083154,0.15685,-0.017927,0.095483,0.117353
20171130,0.061362,0.064662,0.02035,-0.028935,0.078456,0.00348,0.07167,0.008518,-0.015995,0.009152,-0.008299,0.005452,0.036367,0.003267,0.016951,-0.045054,-0.02877,0.043354,0.019347,0.113618
20171229,-0.031957,-0.006187,-0.015246,-0.009685,0.065426,0.002403,0.033677,0.004202,-0.004064,-0.003572,0.029438,0.002799,0.000872,0.026778,0.016277,0.02335,-0.035923,-0.001103,-0.020034,0.020878
20180131,0.064282,0.240639,-0.010636,0.167645,0.201621,0.037271,0.01079,0.043759,0.059107,0.067006,0.042894,-0.01095,-0.005694,0.052959,0.110708,0.408106,0.270284,0.022639,0.114252,0.079494
20180228,-0.054411,0.042429,0.06761,-0.037298,0.026949,-0.091826,-0.050704,-0.123597,-0.045856,-0.038913,0.030121,-0.054056,-0.072397,-0.084894,-0.008631,0.077987,-0.014849,-0.010529,0.020543,-0.155628
20180329,-0.067895,-0.043049,-0.058051,0.016224,-0.094779,0.013882,-0.026367,-0.014919,-0.103914,-0.015401,0.056604,-0.01332,-0.008622,0.013464,-0.026661,0.013625,-0.043017,-0.022583,0.00043,-0.005777
20180430,-0.114477,0.082075,-0.01502,-0.042404,0.017323,-0.005066,-0.001095,0.042086,0.076413,-0.055204,-0.008833,-0.012954,0.070725,0.080778,0.024652,0.057931,-0.028887,0.031558,0.040327,-0.005732
20180531,0.021606,0.040539,0.135181,0.043513,0.060889,-0.00486,-0.008572,0.055434,0.115,-0.014349,0.075165,-0.047197,-0.044374,0.011211,0.061377,0.125264,0.12201,-0.009287,0.068931,-0.061045
